Time,Temperature,BPM,GSR,Emotion
4.5,30.6,70,252,Sad
5.0,31.5,71,260,Sad
5.5,31.0,72,240,Sad
6.0,32.0,71,250,Sad
6.5,33.0,70,260,Sad
7.0,31.0,70,223,Sad
7.5,32.0,69,225,Sad
8.0,31.5,68,230,Sad
8.5,32.5,67,240,Sad
9.0,33.0,68,244,Sad
9.5,34.0,69,250,Sad
